タイトル,あらすじ,ジャンル
ロング・タイム・ランニング,多くの人に愛されたロックバンド、ザ・トラジカリー・ヒップ。2016年に母国カナダで敢行された、バンド最後のツアーに迫るドキュメンタリー。,海外ドキュメンタリー
イヴのりんご,アフリカを中心に今なお残る、女性器切除の風習。国際的な枠組みを作ろうとする人々やアフリカ各国の少女達から話を聞き、その実態と廃絶に向けた努力に迫る。,スペイン映画
ミス・ミー・ディス・クリスマス,夫婦は別れることになり、離婚が成立するのはクリスマスの日。本当に全てを終わらせてもいいのか、2人は自らの胸に問いかける。聖なる夜に愛の奇跡は起こるのか?,海外ラブロマンス
ほろ苦い思い出,配達員として働く孤独な男性・シャオマが住む街で撲殺事件が発生。ある日、彼は病院で見かけた美しい女医を生き別れた姉と思い込み、彼女に執着するようになる。,犯罪アクション・アドベンチャー
ネクスト・コメディ,新しい笑いを追求し、映画の歴史を変えるような作品を作りたかったコメディアンと監督。だが、やがてネタは尽き、結末も曖昧なまま、映画作りは迷走を始める。,スペイン映画
レッドツリー: ホロコースト生存者の記憶,第二次世界大戦中、ナチス占領下のプラハからブラジルへと逃れたユダヤ人家族。その後、建築家として人生を送った父を持つ女性が、壮絶な家族の歴史を語る。,イギリス映画
イーグルス・オブ・デス・メタル: パリの友に捧ぐ,ライブ中のテロ襲撃事件から3ヵ月。イーグルス・オブ・デス・メタルがパリのステージに復帰した。テロの恐怖と彼らの復活までの道程を追ったドキュメンタリー。,海外ドキュメンタリー
キリング・ファミリー 殺し合う一家,無残に殺された母と弟の遺骨を引き取るため、遠く離れた街へとやって来た息子。そこで待ち受けていたのは、保険金詐欺を企む男と、知ってはいけない危険な秘密。,中南米映画
ディードラ&レイニーの列車強盗,母子家庭の母親が刑務所に入り、お金が底をつく。困り果てた姉妹は、貨物列車を襲う計画を立てた。10代の子どもだけで生きていくには、これしかない!?,インディーズ系ヒューマンドラマ
ひとときの栄光,世間のことに無関心で孤独なスペインの軍人、ルイス。ある日カルランという女性に出会い、激しい恋慕の情を抱くが、彼女の目的は権力を手にすることだけだった。,本が原作のヒューマンドラマ
ポッターズビルの奇跡,やけ酒で酔っ払った男がゴリラの着ぐるみを着て街をうろつく。ビッグフット出没のうわさがちょっとしたブームを巻き起こし、寂れた町はにわかに活気づくが...。,海外映画
ブロックバスター,病床に伏せる父のための動画がきっかけで彼女に振られてしまったジェレミー。その心を取り戻すべく、奇想天外な計画を思いつくが…。合言葉はスーパーヒーロー!,ラブロマンス
俺は伝説の戦士(の孫!?),青年は自分が有名な戦士の孫だったことを知り、敵対する組織に立ち向かって村一番の美女の心をつかもうと決意。彼女に勇姿を見せるため、大騒動が幕を開ける。,中東映画
ミス・クリスマス,利益優先主義の男は、家族が経営するホテルをリニューアルしようと画策。そんな彼の前に、クリスマスをこよなく愛する陽気なホテルの装飾係が立ちはだかる。,ラブコメディ
ファミリー: 兄弟の歩む道,5年の刑期を終えてシャバに戻った男の双肩に、弟2人の人生がのしかかる。1人はギャンブラー、もう1人はダウン症を持つ青年。タフでなければ家族は守れない。,インディーズ系ヒューマンドラマ
スピーチ&ディベート,クリエイティブ精神にあふれる、はみ出し者の高校生達。大人の偽善にウンザリした3人が、弁論討論部を復活させて自分らの意見を表現する場を勝ち取ろうとする。,インディーズ系ヒューマンドラマ
疑り深い男,何もかもが不安で、他人のことを全く信じられない男。やっかいな性分のせいで、脳天気な妻や息子ともトラブル続き。面倒くさいこの性格、直せるものなら直したい!,中東映画
結婚狂騒曲,歌手の仕事がほとんどなくなった2人の男たちが、富豪の娘をつかまえて結婚しようと企む。カネさえあれば幸せな人生を送れると思っていたが、甘かった。,中東映画
ハムザのスーツケース,記憶をなくしたプロの詐欺師。犯罪組織のメンバーたちと共に、消えた大金入りのスーツケースを取り戻そうとする中で、次第に明らかになる事実とは...。,コミカルなコメディ
願い事の樹,願い事をした不思議な木が切られてしまう! 森のはずれに住む5人の子供たちは、大切な木を守るために協力。やがて、本当の幸せへの道しるべを見つけてゆく。,インド映画
スノーデン,アメリカ政府による恐るべき情報収集を告発したエドワード・スノーデン。軍への志願入隊からCIAの活動に不信を募らせて命がけの告発を行うまでを描く実話物語。,政治をテーマにしたヒューマンドラマ
SING/シング,つぶれかけた劇場を復活させるため、支配人のコアラは歌のオーディションを開催。集まったのは内気なゾウ、ゴリラの少年、ブタの主婦など。新たなスター誕生!?,音楽・ミュージカル
スペクトル,異次元の敵が襲来し、戦火に包まれたヨーロッパの街は壊滅状態。この危機に立ち向かうのは、ある技師と精鋭揃いの特殊作戦部隊。未知なる脅威との死闘が始まる。,SFアクション
メッセージ,世界各地に巨大UFOが出現。謎の生命体との会話という任務を託された言語学者は、未知の言語を探る中、人類そして彼女自身に向けられたメッセージを解明する。,SFヒューマンドラマ
新感染 ファイナル・エクスプレス,全国に広がる恐ろしいウイルス感染。密室と化した車内で増幅するパニック。プサンを目指す父娘を乗せた高速鉄道は、かつてない恐怖へとノンストップで走り続ける!,受賞歴のある映画
カンフー・パンダ3,秘密のパンダ村を訪れたポーとその父親。ポーはできそこないのパンダたちを寄せ集めて軍団を組み、中国全土を脅かす悪党に立ち向かう。,アニメーション
スプリット,3人の女子高生が、23の人格を持つ男に誘拐され監禁される。はたして彼女たちは、男の24番目かつ最も危険な人格が現れる前に逃げ切ることができるのか。,心理サスペンス
ミニマリズム: 本当に大切なもの,物質的な豊かさが幸せをもたらすというアメリカ的考え方を拒否し、シンプルな暮らしを実践するミニマリスト。真に大切なものとは何かを問うドキュメンタリー。,自然・生態系ドキュメンタリー
LO: インターネットの始まり,世界をつなぎ、今や不可欠となったインターネット。映画監督、ヴェルナー・ヘルツォークが、その誕生と歴史を辿り、インターネットが生み出した光と影に迫る。,科学・技術ドキュメンタリー
キング・オブ・エジプト,古代エジプト。弟である砂漠の神セトに王座を奪われた天空の神ホルス。セトの圧政に苦しむ人々を救うため、ホルスは盗賊の青年と手を組み、壮絶なバトルに挑む。,ファンタジー
アサシン クリード,大人気のビデオゲームの映画化。殺人犯の死刑執行。だが死んだはずの男は謎の組織に囚われ目を覚ます。そして遺伝子を操作する装置により祖先の記憶を追体験する。,大ヒットSF・ファンタジー
シリコン・カウボーイズ,1982年に3人の友人達が設立したPC企業、コンパック。市場の頂点に君臨していた巨大企業、IBMに真っ向から挑戦状を叩きつけた、開拓者達の歩みを追う。,科学・技術ドキュメンタリー
カンフー・パンダ 秘密の巻物,"運命のいたずらによって5匹の動物がチームを組むことに。それぞれ独自のカンフースタイルを活かすことで、無敵のグループ""マスター・ファイブ""が誕生する!",コミカルなコメディ
グレートウォール,よう兵部隊は強力な火薬を求めて旅を続け、万里の長城にたどり着く。そこで彼らが目にしたのは、凶暴な怪物と誇り高き勇猛な戦士達との空前絶後の大戦争だった。,大ヒットSF・ファンタジー
スイス・アーミー・マン,無人島で助けを待つ若者は絶望の末に自殺を決意。だがその時、男の死体が流れ着く。その死体はスイス・アーミー・ナイフのごとく便利な多機能を発揮し始める。,インディーズ系ヒューマンドラマ
KUBO/クボ 二本の弦の秘密,不思議な力を持つ片目の少年は、魔法の武具を探す旅に出る。行く手には、闇の魔力を持つ祖父、月の帝の刺客が立ちはだかる。旅の果てに待つ、隠された真実とは?,受賞歴のある映画
メカニック: ワールドミッション,元殺し屋の男は大切な女を人質に取られ、因縁の相手からの暗殺依頼を受けることに。ターゲットは、世界を裏で操る大物達。この危険すぎるミッションの行方は?,犯罪アクション・アドベンチャー
ラ・ラ・ランド,大都会ロサンゼルス。夢をかなえようと奮闘する男女が出会い、急速に互いの距離を縮めていく。恋愛成就か、夢の大成か、切ない運命が2人を待っていた。,アカデミー賞受賞映画
トロールズ,トロール達が、恐ろしいベルゲンにさらわれた! ベルゲンに食べられる前に、大切な仲間達を助けなきゃ。元気なポピー姫と気難しいブランチが、救出作戦を開始!,音楽・ミュージカル
ムーンライト,マイアミの犯罪地区。内気な黒人少年は学校ではオカマと苛められ、母親は麻薬中毒で育児放棄。そんな彼の心の支えは、たった1人の友と近所の麻薬ディーラー。,海外LGBTQ映画
LEGO(R)ジュラシック・ワールド: インドミナス大脱走!,"""ジュラシック・ワールド""で遺伝子操作により誕生した新種の恐竜インドミナス・レックスが、好物のホットドッグを食べ尽くし暴れ始めた。何とか暴走を止めないと!",キッズ・ファミリー映画
グランド・イリュージョン 見破られたトリック,正義の犯罪集団、フォー・ホースメン。新たなメンバーを加え、巨大IT企業の個人情報売買を暴露すべく動き出すが、天才エンジニアに阻止されてしまう。,強盗アクション
ロッコ: ポルノスター引退宣言,イタリアのポルノスター、ロッコ・シフレディが引退した最後の年を追ったドキュメンタリー。ポルノ界の伝説的スターがカメラの前で見せてくれるものとは。,海外ドキュメンタリー
イントゥ・ザ・インフェルノ: マグマの世界,世界各地の大噴火や煌々と流れる溶岩の迫力の映像とともに、火山を畏れ敬う人々の儀式を取材し、火山と人間の関係を考えるヴェルナー・ヘルツォーク監督作品。,科学・技術ドキュメンタリー
ハイパーカー: 頂点に立つ車,ある男が理想を胸に、燃費の良い高パフォーマンスにこだわったハイパーカーを誕生させた。市場で待ちうけるのは、フェラーリ、ポルシェといった強豪メーカーだ。,アメリカ映画
マッドタウン,クスリ漬けの者が集う砂漠の共同体と人食い部族の集落。荒地に放置され、手足を失った女にとって、どちらを選んでも、悪夢が待っていることには変わりない...。,ベネチア国際映画祭受賞映画
女神の見えざる手,銃擁護派団体からの依頼を断った腕利きの女ロビイスト。巨大権力を敵に回した彼女は、銃規制法案の成立に向け、奇策を仕掛けて精力的に動き出すが...。,高い評価を得た映画
エンド･オブ･キングダム,各国首脳が集まるロンドンで、報復に燃えるテロリストが起こした同時多発テロ。警護のプロ、マイク・バニングが再びアメリカ大統領を、そして世界の未来を守る。,欧米大ヒット映画
アンソニー・ロビンズ －あなたが運命を変える－,ダイナミックで型破りなスタイルの自己啓発セミナーで世界中に知られるアンソニー・ロビンズ。毎年恒例の超大規模イベントの内幕を伝えるドキュメンタリー。,海外ドキュメンタリー
サイレンス,人里離れた森の中に移り住んだ耳の聞こえないライター。ある日、覆面をした殺人鬼が窓の外に現れ、命をかけて立ち向かうことに...。,高い評価を得た映画
ジェーン･ドウの解剖,身元不明の女性の検死依頼を受けた検死官の父と助手の息子。解剖を進めるうちに遺体に隠された驚くべき事実が明らかになり、様々な怪奇現象が起こり始める。,アメリカ映画
ジャドヴィル包囲戦 －6日間の戦い－,アフリカ大陸、コンゴ。圧倒的な数の敵に包囲されても、国連平和維持軍アイルランド部隊の兵士たちは、戦い抜くことを選んだ。歴史に埋もれた実話を映画化。,海外/ヒューマンドラマ
ハクソー・リッジ,"第二次世界大戦下、""なんじ殺すなかれ""という神の教えを貫いた1人の米兵。激戦地・沖縄で自軍が撤退する中、衛生兵として単身戦場に残り多くの命を救った。",アカデミー賞受賞映画
パッセンジャー,冬眠装置で眠りながら移住先の惑星まで120年の旅をするはずが、90年も早く目覚めてしまった1人の男。耐えがたい孤独の中、男はある衝動を抱いて葛藤し始める。,大ヒットSF・ファンタジー
ペレ 伝説の誕生,卓越した集中力を発揮し、華麗なプレーで人々を魅了したサッカーの王様、ペレ。ブラジルのスラムで生まれ育った少年は、伝説の選手へと階段を駆け上がってゆく。,海外/ヒューマンドラマ
レディ・ガイ,スゴ腕の殺し屋は強制的に性転換手術を施され、女に変えられてしまう。この仕打ちへの落とし前をつけるべく、怒りに燃える殺し屋が復しゅうのために立ち上がる。,犯罪アクション・アドベンチャー
地球外生命を求めて,この宇宙で生を受けているのは地球にいる私たちだけなのか? 宇宙生物学者たちが木星、火星、そして私たちの地球上で極限の環境にある地域を調べ、考察する。,アメリカ映画
アメリカ・ワイルド,息をのむ絶景、歴史的遺跡、手つかずの大自然。ロバート・レッドフォードのナレーションでアメリカの偉大なる国立公園を巡る、ワイルドなドキュメンタリー作品。,自然・生態系ドキュメンタリー
絶対王者ボイカ,無敵のチャンピオンが帰って来た! 試合中に意図せず殺してしまった相手の妻を守るため、マフィアと闘うボイカ。バイオレンス格闘アクションシリーズ4作目。,武術映画
LION/ライオン ～25年目のただいま～,5歳の時にインドで迷子になったままオーストラリアへ養子に出されたサルー。幸せな暮らしの中、募るのは実の家族への想い。25年後、彼は故郷を捜す旅に出る。,海外/ヒューマンドラマ
NERVE/ナーヴ 世界で一番危険なゲーム,引っ込み思案の女子高生が、多数参加型の裏オンラインゲームに参戦。次々と指令をクリアして人気者になっていくが、次第に指令も危険で過激なものになり...。,アドベンチャー
ダンガル きっと、つよくなる,かつてレスリング全国一を目指した男は夢かなわず引退。まだ見ぬ息子に期待するも、授かったのは女児4人。そこでケンカの強い娘2人に夢を託し、特訓を始める。,海外/ヒューマンドラマ
ナイスガイズ!,1970年代、ロサンゼルス。酒浸りの私立探偵と腕っぷしの強い示談屋。少女失踪事件を引き受けたでこぼこコンビは、その裏にある巨大な陰謀に巻き込まれていく。,アメリカ映画
哭声/コクソン,韓国の小さな村で、身内が犯人の猟奇殺人が多発。村に住み着いたよそ者に関する謎めいたうわさが広がる中、事件は想像を絶する結末へと向かっていく。,ミステリー
沈黙 －サイレンス－,キリシタン弾圧下の江戸時代、2人のイエズス会の神父は、棄教したという行方不明の宣教師を捜しに日本へ。幾多の途方もない困難を前に、彼らの信仰が試される。,海外/ヒューマンドラマ
最後の追跡,家族の牧場を手放したくない…。兄弟は連続して銀行を襲撃。犯人を追うことになったのは、州の治安を守るテキサス・レンジャーを退職目前のベテランだった,ウェスタン
ゾンビ・サファリパーク,ゾンビ世界大戦から7年。ゾンビの生き残りを隔離した孤島で、ゾンビ狩りを楽しめるリゾートが人気に。だが、リゾートのセキュリティが制御不能となり...。,ゾンビホラー
20センチュリー・ウーマン,1979年の南カリフォルニア。進歩的なシングルマザーのドロシア。息子の健全な成長を願う母は、多感な思春期を乗り越えるため若い女性2人の力を借りる。,インディーズ系ヒューマンドラマ
セル,ボストン空港に降り立ったクレイ。別居中の妻と息子に電話するが充電切れに。すると携帯で話していた周囲の人々が暴徒化し、一瞬にして空港は血の海に...。,ゾンビホラー
パトリオット・デイ,2013年のボストンマラソン。懲戒処分で警備についたやり手の刑事トミーの背後で起こった大爆発。FBIが捜査を開始する中、トミーは独自に聞き込みを始める。,海外/ヒューマンドラマ
スティーヴ・アオキ: I'll sleep when I'm dead,"世界的に有名なDJスティーヴ・アオキの原動力は、父親のロッキー青木。レストラン""BENIHANA""の創業者であり型破りな冒険家だった父親について語る。",海外ドキュメンタリー
地球が壊れる前に,人類が引き起こした地球温暖化の末路とは。それを逆行させる術は果たしてあるのか。レオナルド・ディカプリオが世界中を駆け巡り、答えを探し求める。,自然・生態系ドキュメンタリー
砂上の法廷,10代の青年が父親殺害の罪で逮捕された。自白、証言、証拠、どれをとっても有罪確定と思える裁判に挑む敏腕弁護士は、嘘にまみれた法廷で真実を暴き出せるか?,法廷ヒューマンドラマ
ザ・ローリング・ストーンズ/オレ! オレ! オレ! ア・トリップ・アクロス・ラテン・アメリカ,ザ・ローリング・ストーンズのラテン・アメリカ・ツアーのドキュメンタリー。南米からメキシコ、キューバでの初公演まで、伝説のロックバンドに密着。,海外ドキュメンタリー
フェリシーと夢のトウシューズ,19世紀のフランス。バレリーナを夢見るフェリシーと発明家を目指すヴィクターは施設育ちの親友。夢をかなえるため、2人は施設を抜け出して花の都・パリへ。,アニメーション
パージ: 大統領令,1年に1晩だけあらゆる犯罪が許される法律、パージ。廃止を訴える大統領候補はパージの夜に命を狙われ、狂った街で果てしない殺意と暴力にさらされてゆく。,SFアクション
わたしは、ダニエル・ブレイク,妻に先立たれた後も、実直に生きてきた大工職人。心臓病を患い、国の援助を受けるべく悪戦苦闘するうちに、同じように苦境に陥っていたシングルマザーと出会う。,カンヌ国際映画祭受賞映画
ホワイト・ガール,刺激的な恋と危険なドラッグにはまったニューヨークの女子大生。ある夏、彼女が手に入れた自由気ままで楽しい毎日は一転し、厳しい現実へと堕ちていく。,インディーズ系ヒューマンドラマ
ARQ: 時の牢獄,石油に代わる新エネルギー供給技術開発に携わる1組の男女が、突然マスク集団に襲われる。しかも、タイムループにはまり、2人はその日を延々と繰り返す。,カナダ映画
ダーティ・グランパ,結婚間近の堅物弁護士のもとに届いた祖母の訃報。落ち込む祖父に誘われ、傷心旅行にお伴することに。だが祖父は久々の独身生活に羽目を外し、やりたい放題...。,ダークコメディ
Crouching Tiger Hidden Dragon: ソード・オブ・デスティニー,"伝説の名剣""グリーン・デスティニー""に忍び寄る魔の手。平穏な日々を送っていた女剣士ユー・シューリンは、剣の守り手として再び壮絶な争いに身を投じていく。",アメリカ映画
怪物はささやく,余命わずかな母と暮らす孤独な少年。学校ではいじめられ、夜は悪夢にうなされる。ある晩、そんな彼のもとに大木の怪物が現れ、少年と怪物の幻想的な物語が始まる。,ファンタジー
ホイットニー: 本当の自分でいさせて,世界中を魅了したポップシンガー、ホイットニー・ヒューストン。既にその才能を見せ始めていた幼少期から、薬物中毒との壮絶な闘い、そして衝撃の死までを追う。,海外ドキュメンタリー
リベンジ・リスト,妻を殺された元特殊部隊の男は、昔の仲間の力を借りて壮絶な復しゅうを開始。やがて彼は、妻を死に追いやった、悪徳警官と卑劣な権力者による巨大な陰謀を知る。,犯罪アクション・アドベンチャー
AAUバスケの世界,アマチュア運動連合、通称AAUバスケットボールの熾烈な世界。成功を夢見て、プロ同様の環境に身を投じる青少年たちとAAUの現状に迫ったドキュメンタリー。,スポーツドキュメンタリー
ザ･ボーイ ～人形少年の館～,"裕福な老夫婦に雇われ大邸宅に向かうと、男の子の人形の""子守""をするよう言い渡される。しかも、絶対に破ってはいけない10のルールがあると言う…。",海外映画
ドッグス! ～オジーの大冒険～,一家は愛犬のオジーを豪華なペットホテルに預けて旅行に出かけるが、そこはなんと犬用の刑務所だった! 大好きな家族と再会するため、オジーの脱出計画が始まる。,コミカルなコメディ
キュア ～禁断の隔離病棟～,NYの金融企業で働く若手社員は、スイスの療養所に行ったきり戻ってこない社長を連れ戻すよう命じられる。山奥の療養所に向かう彼を、恐るべき秘密が待ち受ける。,マインドゲームスリラー
キミとボクの距離,火星で生まれ、今やティーンに成長した少年は、地球との接触を制限されていた。でも地球への関心はふくらむばかり。宇宙を越え、自分のルーツを探す旅が始まる。,ファンタジー
封神伝奇 バトル・オブ・ゴッド,古代中国。殷朝第30代の王は九尾のきつねが化けた美女に魅了され、操られるままに周辺への侵略を開始。仙界最強の道士はそれを阻止しようと手を打つが...。,大ヒットSF・ファンタジー
フェンス,"50年代、ピッツバーグ。人種差別のためメジャーリーグの夢を絶たれた黒人の元プロ野球選手。黒人差別の""壁""に翻弄された男と家族の葛藤を描く。",アカデミー賞受賞映画
シング･ストリート 未来へのうた,80年代のダブリン。不況のあおりをうけ、荒れた学校に転校した少年は、謎の美少女のハートを射止めるためバンドを結成。運命のMV作りに乗り出すが…。,高い評価を得た映画
パシフィック・ウォー,太平洋戦争末期。極秘任務の下、戦地へ向かった米海軍巡洋艦は魚雷攻撃により沈没。海上を漂流する乗組員たちを、飢えや渇き、サメの襲撃など過酷な試練が襲う。,軍隊・戦争系アクション
キル・コマンド,とある孤島の研究施設へ送り込まれた海兵隊員たち。軍事ロボット相手に訓練を進めようとする彼らに、暴走して殺りくマシンとなったロボットが容赦なく襲いかかる。,SFアクション
はじまりへの旅,物質主義に背を向けて森の奥で自給自足生活を送る変わり者の一家。母の死をきっかけに森の外に旅することになり、子供たちは生まれて初めて現代社会に触れ...。,インディーズ系ヒューマンドラマ
ジャスティン・ティンバーレイク&ザ・テネシー・キッズ,アイドルから一流シンガーへ脱皮したスターが、才能あるミュージシャンとダンサーを従えて興奮の世界ツアーを敢行。映画監督のジョナサン・デミが最終公演を追う。,海外映画
ソウル・ステーション/パンデミック,夏の夜、ソウル駅で息絶えたホームレスが狂暴化して復活。それをきっかけに人々が次々と未知のウイルスに感染して暴徒化する中、元風俗嬢に非情な運命が降りかかる。,大人向けアニメ
ラスト・シャーマン,うつ病に苛まれた青年が古代シャーマニズムの儀式を求め、アマゾンの奥地をめざす。それは自殺を選ぼうとする自身を救うための、最後の望みをかけた旅だった。,イギリス映画
ズーランダー NO.2,世界的なセレブを狙う連続殺人事件が発生。訳あってモデル界から引退して久しい元ファッション・アイコンのデレクとハンセルが、極秘ミッションに駆り出される。,海外/アクション・アドベンチャー
バグズ －昆虫食は地球を救うか－,食糧不足が心配される将来に、貴重な食物として期待されるのが昆虫だ。料理人と研究者がいっしょに世界中の虫グルメを食し、その可能性を探る旅へ出る。,自然・生態系ドキュメンタリー
きみがくれた物語,隣の家に引っ越してきた若い女性ギャビーに惹かれていく獣医の青年トラヴィス。だがそれぞれの恋人の存在が、2人の互いへの本当の気持ちの前に立ちはだかる。,本が原作のヒューマンドラマ
アシュラ,悪徳市長のために裏の仕事を引き受けてきた刑事は、市長逮捕に燃える検事に弱みを握られる。私利私欲と憎悪が渦巻く中、生き残りをかけ、地獄の闘いが展開する。,犯罪アクション・アドベンチャー
MMAファイター: その栄光と苦悩,伝説の選手そして新星にスポットライトをあて、過酷なスポーツであるMMA・総合格闘技の歴史と、選手達の苦悩そして栄光をたどるドキュメンタリー作品。,スポーツドキュメンタリー
ザ・ビートルズ EIGHT DAYS A WEEK ーThe Touring Years,世界で最も有名なバンド、ザ・ビートルズ。貴重な秘蔵映像や関係者のインタビューを交え、全盛期のメンバーの姿や全世界ツアーのインパクトを映し出す。,海外ドキュメンタリー
ボン・ボヤージュ ~家族旅行は大暴走~,4人家族のコックス一家は、祖父と共に自慢の新車で夏休みのバカンスへ。だがブレーキの故障から制御不能となり、時速160kmで大暴走、車内はパニックに!,海外/アクション・アドベンチャー
メリッサ・マッカーシー in ザ・ボス 世界で一番お金が好き!,女実業家はインサイダー取引で逮捕され、出所後は一文無し。かつての栄光を取り戻そうとする彼女は手作りブラウニーに目を付けるが、意外にも競争が激しかった!?,コミカルなコメディ
ルイの9番目の人生,驚異の事故頻発少年・ルイが断崖絶壁から転落し、こん睡状態に...。担当医が事情を調べていくうちに、現実離れした不可思議な出来事が次々と起こり始める。,心理サスペンス
デッド・フレンド・リクエスト,SNSが大好きな女子大生ローラは、充実したキャンパスライフを送っている。ある日、孤独なクラスメートからの友達申請を承認。これが悪夢の幕開けだった...。,超常現象ホラー
ホット・ボット,おたくのティーン2人が、最先端技術を使った生きているかのようなセックスロボットを発見。有名な所有者に見つかることなく、彼女を2人占めできるのか!?,海外映画
すっぱいブドウ,目が眩むような高値で取り引きされる高級ワイン。それが偽物だったとしたら…。高級ワイン詐欺の実態と、何百万ドルもの大金を鮮やかに欺し取った手口に迫る。,実際に起きた犯罪事件を描くドキュメンタリー
スキップ・トレース,捜査中に死んだ相棒の娘が犯罪界の大物絡みの事件に巻き込まれたと知り、香港警察の刑事ベニーは、事件の鍵を握るアメリカ人詐欺師を追ってロシアへ向かう。,アメリカ映画
キングコブラ,ゲイポルノのプロデューサー、スティーヴンが未成年のブレント・コリガンに魅せられ作品を撮る。すると同業のライバル2人も彼を使うと言い出す。諍いの結末は?,海外LGBTQ映画
キャビン・フィーバー (2016),夏休みに、山奥のキャビンを借りた5人の若者たち。到着早々、血だらけの男が乱入。その後、身体に異変が生じ始め、伝染病ではないかと、恐怖が広がっていく。,海外映画
くすぐり,くすぐりに耐える行為が競技として撮られた動画を、人気エンタメ記者のデイビッドが発見する。そこから若い青年を陥れる悪徳事業の存在が明らかになっていく。,海外ドキュメンタリー
ホワイト・ヘルメット －シリアの民間防衛隊－,日々自らの命を危険にさらし、爆撃により閉じ込められ負傷した民間人の救助に向かうボランティア団体、シリア民間防衛隊。彼らの過酷な現実を浮き彫りにする。,アカデミー賞受賞映画
ラベンダー 妖精の歌,頭蓋骨に損傷を負った写真家は、記憶障害に陥ってしまった。次第に回復してゆく中で、幼き日の忌まわしき秘密が蘇る。記憶の糸に導かれ、辿り着く真実とは?,マインドゲームスリラー
モンスタートラック,田舎町からにげ出すことを夢見ておんぼろトラックの修理に精を出す高校生・トリップ。ある日、未知の生物がトラックに住み着き、トリップの日常は一変することに。,キッズ・ファミリー映画
ディープブルー･ライジング,北極海の海氷に建造された海洋調査基地。ある日、突然変異したサメの大群が襲撃。迫りくる恐怖の中、生存者たちは凶暴な海の悪魔に決死の戦いを挑むが...。,海外/アクション・アドベンチャー
コルトレーンを追いかけて,ジャズの巨星、ジョン・コルトレーンの音楽は、どんな出来事に影響されたのか? 様々な証言や映像を散りばめた、偉大なジャズマンの実像に迫るドキュメンタリー。,海外ドキュメンタリー
ラスト･サマーウォーズ,ドイツ降伏後、終盤を迎えた第二次世界大戦。ソ連は対日参戦を決定し、満州に侵攻。日本の降伏を決定付けたハルビン奇襲作戦の経緯が、ソ連側の視点で語られる。,軍隊・戦争系アクション
ドゥ・オーバー: もしも生まれ変わったら,旧友に誘われて自分が死んだかのように装った、ある銀行の支店長。人生は一変し、冒険に満ちた日々が始まる。,コミカルなコメディ
ファンクショナル・トレーニング: クロスフィットの魅力,肉体と精神を鍛え抜く究極のフィットネス。トレーニングに心血を注ぎ、タフで機能的な身体を追及する人々の視点から、フィットネスの世界を描くドキュメンタリー。,海外ドキュメンタリー
ウィジャ ビギニング ～呪い襲い殺す～,1960年代のカリフォルニア。いかさま霊媒師の娘は、死んだ父の魂を呼び出そうとする。だが、呼びかけに答えたのは、目覚めさせてはならない邪悪な魂だった...。,超常現象ホラー
エクスポーズ 暗闇の迷宮,ある夜、若い保育士の女性は地下鉄のホームで不思議な体験をする。その翌日、同じ場所で発見される刑事の他殺体。2つの出来事に果たして関連性はあるのか。,ミステリー
クリミナル 2人の記憶を持つ男,テロ計画を阻止するため、当局は殺されたCIAエージェントの記憶と技能を凶悪な囚人に移植。内なる変化に混乱しながら、男はテロとの戦いに巻き込まれてゆく。,犯罪アクション・アドベンチャー
ネオン・デーモン,トップモデルを夢見てロスにやってきた美しい少女に訪れた成功のチャンス。だが、夢を追う少女の心は、野心と嫉妬が渦巻くファッション界の毒に染まってゆく。,北欧映画
PLANET OF THE SHARKS 鮫の惑星,近未来、温暖化により地表は海に覆われた状態に。基地や船の上で何とか暮らす人類を、食糧不足に陥った巨大なサメが狙うように。勝つのは、人類か、サメか?,SFアクション
ペット 檻の中の乙女,動物保護センターで働く孤独な青年が、思い焦がれる相手を拉致しておりの中に監禁。ペットさながらの彼女を飼育し、飼い主気分を堪能していた青年だったが...。,海外映画
思いやりのススメ,行きたい場所を巡る当てもない旅で2人が得たものは、生きていく希望とかけがえのない友情。体が不自由な青年と、心に傷を負う介護士が織りなす涙と笑いの物語。,インディーズ系ヒューマンドラマ
空のハシゴ: ツァイ・グオチャンの夜空のアート,火薬を用いた壮大な作品で知られる、中国人芸術家の蔡國強。今まで製作した作品の中でも、特に野心的で美しいと評されたプロジェクトを追うドキュメンタリー。,海外ドキュメンタリー
ガーディアン・ブラザーズ －小門神－,一家で営むスープ屋が、ライバル店にじゃまされて大ピンチ。一家を助けに立ち上がったのは、神様の世界で失業寸前の2人の守り神。これで安心と思ったけれど…。,海外映画
ラチェット&クランク THE MOVIE,宇宙船修理ガレージで働く少年ラチェットの夢は、ガラクチック･レンジャーの一員になること。惑星をピンチから救うため、ラチェットは入隊試験に挑むが...。,キッズ・ファミリー映画
ハイドリヒを撃て! 「ナチの野獣」暗殺作戦,愛する祖国の未来と平和のために、2人の若き軍人が、ナチス親衛隊大将ラインハルト・ハイドリヒ暗殺という無謀とも思える極秘任務に挑む。史実に基づく戦争ドラマ。,政治をテーマにしたヒューマンドラマ
セールスマン,劇団員の夫婦ラナとエマッドの穏やかな日常が、突然降りかかった事件をきっかけに一変。自力で犯人捜しに乗り出した2人を、報復と破滅の道が待ち受ける。,心理サスペンス
